ID,Bezirk,Mauersegler,Kontrolle,PLZ,Sperling,Ersatz,Ort,Schwalbe,Wichtig,Strasse,Star,Sanierung,Anhang,Fledermaus,Verloren,Erstbeobachtung,Andere,Melder,Beschreibung,Besonderes,Splitstrasse,ADDRESS,location,point,latitude,longitude,altitude
1669,Steglitz-Zehlendorf,0,0,12157,1,0,Berlin,0,0,"Sachsenwaldstr. 20-21, Schönhauser Str., Sachsenwald-Grundschule",0,0,,0,0,04.05.2018,0,,"Schulsanierung Sachsenwald Grundschule

2019-05: keine Gebäudebrüter gesehen in den Ersatzkästen

2018-05: 11 Mauerseglerersatzkästen mit jeweils 3 Nistplätzen, 2 davon mit Haussperlingen besetzt","Sachsenwald-Grundschule
Gesamtsanierung (2022-2024), Elektro: 2017-2018",Sachsenwaldstr. 20-21,"Sachsenwaldstr. 20-21, 12157, Berlin, Deutschland","Sachsenwaldstraße, Steglitz, Berlin, 12157, Deutschland","(52.4628291, 13.3391615, 0.0)",52.4628291,13.3391615,0.0
935,Steglitz,1,1,12157,0,1,Berlin,0,0,Sachsenwaldstr. 10,0,0,,0,0,1.1.1999 00:00:00,0,,"2012 Haus wurde saniert, es wurden Nistkästen angebracht,",,Sachsenwaldstr. 10,"Sachsenwaldstr. 10, 12157, Berlin, Deutschland","Sachsenwaldstraße, Steglitz, Berlin, 12157, Deutschland","(52.4628291, 13.3391615, 0.0)",52.4628291,13.3391615,0.0
1435,Schöneberg,0,0,12161,1,0,Berlin,0,0,Saarstr. 6,0,0,,0,0,10.07.2014,0,,"2014: Rückfront, von Dickhardtstr. aus gut einsehbar, unter Holztrauf unter Dachrinne 2x Sperlinge, ebenso unterhalb der Balkonverblendungen mehrere Sperlinge",,Saarstr. 6,"Saarstr. 6, 12161, Berlin, Deutschland","6, Saarstraße, Friedenau, Tempelhof-Schöneberg, Berlin, 12161, Deutschland","(52.4680049, 13.3345744, 0.0)",52.4680049,13.3345744,0.0
1323,Steglitz-Zehl,0,0,12247,1,0,Berlin,0,0,Ruthstr. 7,0,0,,0,0,12.04.2015,0,,"Sperlinseinflug unter linkem Dachüberstand zwischen Holzverkleidung und Putz, links vom Fallrohr.",,Ruthstr. 7,"Ruthstr. 7, 12247, Berlin, Deutschland","7, Ruthstraße, Lankwitz, Berlin, 12247, Deutschland","(52.43444875, 13.339523545878414, 0.0)",52.43444875,13.339523545878414,0.0
1324,Steglitz-Zehl,0,0,12247,1,0,Berlin,0,0,Ruthstr. 5,0,0,,0,0,12.04.2015,0,,An linker Hauswandseite unterm Dach hinter dem Fallrohr über dem Holzbalken Sperlinseinflüge. Nistmaterial und Kotspuren erkennbar.,,Ruthstr. 5,"Ruthstr. 5, 12247, Berlin, Deutschland","5, Ruthstraße, Lankwitz, Berlin, 12247, Deutschland","(52.434672649999996, 13.339325271381274, 0.0)",52.434672649999996,13.339325271381274,0.0
1478,Steglitz,1,0,12249,1,0,Berlin,0,0,Ruthstr. 17 + 19,0,0,,0,0,16.07.2015,0,,"Sperlinge im Dachbereich, Mauersegler unter Regenrinnen (bestätigt auch durch Anwohnerin), weiteres Nest hinter defektem Insektengitter s. Foto.
Verwaltung DeGeWo",,Ruthstr. 17 + 19,"Ruthstr. 17 + 19, 12249, Berlin, Deutschland","Ruthstraße, Lankwitz, Berlin, 12249, Deutschland","(52.4333579, 13.3417341, 0.0)",52.4333579,13.3417341,0.0
1325,Steglitz-Zehl,1,1,12247,0,0,Berlin,0,1,Ruthstr. 1,0,0,,1,0,12.04.2015,0,,"Strassenseitig 11 Nistplätze durch deutliche Kotspuren erkennbar. Unterm Dach zwischen Mauerwerksende und Holzkonstruktion des Daches.
Sowie
13 Nistplätze - ebenfalls durch Kotspuren erkennbar - an rechter Gebäudeseite (Einfahrt)

Anzunehmen sind dort Mauersegler und ggf. Fledermäuse. Kontrolle im Juni, ob Mauerseglereinflüge.

Das Nachbarhaus ist vor kurzem energetisch saniert worden! Dort sind keinerlei Spuren mehr erkennbar.",wichtiger Niststandort da 24 Nistplätze an einem Gebäude! ,Ruthstr. 1,"Ruthstr. 1, 12247, Berlin, Deutschland","1, Ruthstraße, Lankwitz, Berlin, 12247, Deutschland","(52.434882099999996, 13.338979990740746, 0.0)",52.434882099999996,13.338979990740746,0.0
169,Wilmersdorf,0,0,10709,1,0,Berlin,0,0,"Ruhrstr. 1, Ecke Fehrbelliner Platz",0,0,"
alt, Charlottenburg-Wilmersdorf",0,0,14.6.2006 00:00:00,0,,"2006: Direkt an Ecke Fehrbelliner Platz, 1x Sperlinge unter Dachrinne,",,Ruhrstr. 1,"Ruhrstr. 1, 10709, Berlin, Deutschland","1, Ruhrstraße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10709, Deutschland","(52.4902232, 13.3118096, 0.0)",52.4902232,13.3118096,0.0
362,Wilmersdorf,1,0,14199,0,0,Berlin,0,0,Ruhlaer Str. 14,0,0,,0,0,20.6.2008 00:00:00,0,,an linker Hausseite Knick an Dachrinne ? 1x Mauersegler // Meldung Antje Schmidt,,Ruhlaer Str. 14,"Ruhlaer Str. 14, 14199, Berlin, Deutschland","14, Ruhlaer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","(52.47851145, 13.284789145297427, 0.0)",52.47851145,13.284789145297427,0.0
1715,Neukölln,0,0,12351,1,0,Berlin,0,0,Rudower Str. 184/ Lise-Meitner-Schule,0,0,,0,0,30.6.18,0,,"2018:Sperlinge In einigen Jalousiekästen, unklar, was aus dem Gebäude wird, wenn der Schulbetrieb in den Neubau wechselt,",UNB Neukölln infomiert,Rudower Str. 184,"Rudower Str. 184, 12351, Berlin, Deutschland","OSZ Lise-Meitner, 184, Rudower Straße, Buckow, Neukölln, 12351, Deutschland","(52.4301804, 13.475051792121304, 0.0)",52.4301804,13.475051792121304,0.0
