ID,Bezirk,Mauersegler,Kontrolle,PLZ,Sperling,Ersatz,Ort,Schwalbe,Wichtig,Strasse,Star,Sanierung,Anhang,Fledermaus,Verloren,Erstbeobachtung,Andere,Melder,Beschreibung,Besonderes
1484,Steglitz,0,0,12203,1,0,Berlin,0,0,Klingsorplatz 2,0,0,,0,0,23.07.2015,0,,1 Sperlingsnest unter Ziegelverblendung (Nistmaterial erkennbar) sowie 2x Kotspuren an Holzbalken der Dachunterkonstruktion (ggf. auch Mauersegler/Fledermäuse),
1485,Steglitz,0,0,12203,1,0,Berlin,0,0,Klingsorplatz 1,1,0,,0,0,23.07.2015,0,,2 Nester in Spechtlöcher an der Fassade außen links am Gebäude (Nistspuren an der Hauswand),
498,Steglitz,1,1,12157,1,0,Berlin,0,1,Kissingerstr. 15,0,0,,0,0,1.7.2005 00:00:00,0,,"2013 : viele Tiere am Himmel, war jedoch schon zu dunkel für Foto
2012 unverändert
2009: 2 Nistplätze Mauersegler // Über dem 4.Stockwerk wurden 5 Einflüge beobachtet,Trupps v. 20 Tieren in der Umgeb. Wurde auch vorher schon kartiert","Kontrolle noch mal in 14, renovierungsbedürftig"
717,Steglitz,0,0,12157,0,0,Berlin,1,0,Kissingerstr. 12,0,0,,0,1,1.7.2011 00:00:00,0,,2011 und 2013: Nach Sanierung keine Mehlschwalbennester mehr vorhanden,
310,Schöneberg,1,0,12277,0,0,Berlin,0,0,Kirchstr. 27,0,0,,0,0,14.7.2007 00:00:00,0,,"Zufallsbeobachtung! 2007:
1x Mauersegler linke Hausseite im Seitengiebel Holzgebälk. Am Haus viele Brutspuren.",
1801,Reinickendorf,0,0,13403,1,0,Berlin,0,0,"Kienhorststraße 67, Herman-Schulz-Grundschule",1,1,,0,0,2018,0,,"Schulsanierungskartierungsliste
2018: Feldsperlinge, Haussperlinge und Stare nisten rund um alle Gebäude hinter den Fassadenplatten, in den Rolladenkästen und unterm Dach","Schulsanierung: 2016-2019, laufende bauliche Unterhaltung (2016-2017), Sanierung Dachfläche im Hauptgebäude (2018-2019), Sanierung Sporthalle (2018-2019)"
1782,Marzahn,0,0,12685,1,1,Berlin,0,0,"Kienbergstr. 59, Grundschule an der Mühle",0,0,,0,0,02.05.2019,0,,2019-05: Online-Formular: Sperlingsniststätte im Kasten an Schulgebäude,
1082,Steglitz,0,0,12163,1,0,Berlin,0,0,Kieler Str. 3 und 2,1,0,Skizze und 2  Fotos,0,0,3.5.2013 00:00:00,0,,"2013: Am Hinterhaus/Gartenhaus Nr 3 Sperlinge und Star an den Dachecken/Dachblech der rechten haussseite (Brandmauer), Vorderhaus/Hofwärts hat an rechter Seite Brandmauer-Fassade mit starker Begrünung, hier Sperlinge und Stare, siehe Skizze, einsehbar durch den Hof von Nr. 2 (Einfahrt)",Brandmauern und Fassadenbegrünung
1072,Steglitz,0,0,12163,1,0,Berlin,0,0,Kieler Str. 1,0,0,,0,0,13.6.2013 00:00:00,0,,2013: zahlreich Sperlinge unter vielen Fenstern unter Metallverblendung,
1223,Steglitz,0,0,12167,1,0,Berlin,1,0,Kellerstr. 6,0,0,,0,0,27.4.2012 00:00:00,0,,"2012 Mehlschwalbe Balkonnische 3. Etg. linke Gebäudeseite, 1x Sperling unter Dachrinne, linke Gebäudeseite",
1371,Steglitz,1,0,12167,1,1,Berlin,0,0,Kellerstr. 4,0,1,,0,0,18.04.2015,0,,"18.4.2018: Ersatznistplätze in den Fensternieschen angebracht. Optisch sehr gelungen!

6.12.2017: eingebundene Gutachterin hat 18 Nistplätze gefunden! Für Ersatz wird gesorgt.

05.11.2017: Achtung Baugerüst! Meldung an UNB erfolgt.

11.5.2016 erneut Einflüge 

13.6.2015: zur Ecke Steglitzer Damm 40 hin, in Holzkonstrukition des Dachgiebels (rechts unten) 2 Sperlingsnester.

In unverschlossenen Jalousienkasten der 1. Etage (3 Fenster) je Einflüge, sowie Nistmaterial erkennbar. Ggf. auch von Mauerseglern genutzt.
",
673,Steglitz,0,0,12167,1,0,Berlin,0,0,Kellerstr. 1,0,0,,0,0,19.5.2010 00:00:00,0,,"2010 Sperlinge in Mauerwerksschaden oberste Dachrinne, Einflug",
1126,Steglitz,0,1,12169,1,0,Berlin,0,1,Kelchstr. 7,1,0,,0,0,17.6.2013 00:00:00,0,,"2013: re. Hausecke 3.OG, Loch im Putz, Sperlinge, ggf. Stare o.ä. hier muss wieder kontrolliert werden"," wichtiger Standort, Kontrolle"
1120,Steglitz,1,1,12169,1,0,Berlin,0,0,Kelchstr. 5,0,0,,0,0,28.5.2013 00:00:00,0,,"2013: mind.2 Nester mit Einflügen Sperlinge unter Regenrinne, Mauersegleranflüge",Kontrolle
1127,Steglitz,0,1,12169,1,0,Berlin,0,0,Kelchstr. 3,0,0,,0,0,17.6.2013 00:00:00,0,,"2013: Sperlinge 2x, weiter über re. Balkon des 3. OG, Nistmaterial erkennbar"," wichtiger Standort, Kontrolle"
1806,Pankow,0,0,13187,0,0,Berlin,0,0,Kavalierstr. 25,1,1,,0,1,25.05.2019,0,,"2019-05: Meldung über Online-Formular:
Neubau, Verlust von Star-Niststätten an der Nordwand","Das Hinterhaus der Kavalierstr. 25 soll im Frühjahr 2020 verlängert werden. Nord-Variante 1 bis 3:
https://www.gesobau.de/neubau/neubauprojekte/kavalierstrasse.html#

Dadurch erhält die Kavalierstr. 29 ein Hinterhaus (jetzt Pankplatz GESOBAU-Mieter). Die Stare verlieren ihre Höhle in der Nordwand der Kavalierstr. 25.

"
1654,Steglitz (Lankwitz),1,0,12247,1,0,Berlin,0,0,Kaulbachstraße 65,0,0,,0,0,18.4.18,0,,"18.4.18: Pflegeheim Kaulbachstraße 65 (Seitenflügel links) Ecke Brucknerstr., Fensterfront auf Höhe des Ausgangs der Etagen 1-3.  Jeweils rechts und links in den oberen Fensternieschen 11 Nistplätze.Kotspuren deutlich erkennbar. Sehr wahscheinlich, dass dort auch Mauersegler nisten!",
1647,Berlin (Lankwitz),0,0,12247,1,0,Berlin,0,0,Kaulbachstraße 48,0,0,Foto,0,0,15.2.2018,0,,"15.2.18: Sperlingseinflug strassenseitig unter Spitzdach, linke Gebäudeseite. Unter den Dachziegeln befindet sich eine Niesche im Putz. ",
1636,Steglitz-Zehlendorf,0,0,12247,1,0,Berlin,0,0,Kaulbachstraße 46,0,0,Foto,0,0,06.07.2017,0,,"Lankwitz. aktives Sperlingsnest hinter Lüftungsgitter Höhe 1. Etg.
Das Lüftungsgitter hat ein Loch, das den Einflug ermöglicht.",
1625,Steglitz Zehlendorf,0,0,12247,1,0,Berlin,0,0,Kaulbachstraße 24,1,0,Foto,0,0,03.05.2017,0,,Einflug von Sperling und Star an markierter Stelle (s. Foto) in Holzkonstruktion des Daches. Kotspuren an einer Stelle deutlich erkennbar.,
1624,Steglitz-Zehlendorf,0,0,12247,1,0,Berlin,0,0,Kaulbachstraße 15,0,0,Foto,0,0,03.05.2017,0,,Sperlingseinflug unter Ziegelverbledung in Giebelspitze. Kotspuren erkennbar.,
1338,Steglitz-Zehl,0,0,12247,1,0,Berlin,0,0,Kaulbachstr. 8a,0,0,,0,0,05.03.2015,0,,"mind. 4 Nester an re. Geb-Seite unter den Dachkanten sowie 1 Nest re. Geb-Seite unter der Dachkante (s. Foto für Details) strassenseitig li. Geb-Seite unter Dachvorsprung (s. Foto mit Einflug).
Sehr wahrscheinlich, dass noch mehr Nistplätze vorhanden sind!
",
928,Schöneberg,0,0,10829,1,0,Berlin,0,0,Katzlerstr. 7,0,0,,0,0,31.5.2012 00:00:00,0,,2012 1x Sperlinge in Belüfungsloch oberhalb Parterrefenster linke Hausseiten,
1046,Schöneberg,0,0,10829,1,0,Berlin,0,0,Katzlerstr. 7,0,0,,0,0,31.5.2012 00:00:00,0,,2012 1x Sperlinge in Belüfungsloch oberhalb Parterrefenster linke Hausseiten,
378,Schöneberg,1,0,10829,1,0,Berlin,0,0,Katzlerstr. 5,0,0,,0,0,30.7.2008 00:00:00,0,,"2012 dito und neu: 3x Sperlinge hinter Stuck der Fenster 3 Etage, 2x Mauersegler, 1x Pos Vorjahre, 1x etwa in LInie Haustür
2008:von linker Hausgrenze aus gesehen ca 40 cm von Fallrohr entfernt 1x Mauersegler unter Dachrinne. Weitere Brutspuren unter Dachrinne in Linie zur Haustür.",
1267,Schöneberg,1,0,10829,1,0,Berlin,0,0,Katzlerstr. 19/20,0,0,,0,0,12.6.2014 00:00:00,0,,"2014 1x Mauersegler oben unterm Dach, genau zwischen Hausnummer 19 und 20.  sowie 1x Spatz(en) im 1. Stock zw. Hausnummer 19 und 20.",
